facility,survey_item,response,auditor_assigned_category,re_assigned_response,translated,original_language
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Kitchen facilities not adrquate,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Would love to have a bigger facility and more cultural programs,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,We could use more space for our events.,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Rooms seem a bit small and can get crowded quickly.,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"(1) See above

(2) It’s way too small and doesn’t have a professional kitchen for events so it’s been a poorly planned waste of taxpayer monies.",Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,the space desperately needs a proper performance and performance practice space,Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,I have been to at least 4 events here in the past two years. I always enjoy the events! The space is a little small and I think it would benfit the events there to find a better way to use the out side space to extend the events. (Like maybe some benches and picnic tables outside),Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,AARC space needs to be flexible for more various program to be planned.p,Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,more events! more parking spaces!,Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,It would be nice to have more accessible parking for overflow.,Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,Sometimes we seem to run put of room.   Need a bigger space and parking lot.   Carol Chen,Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,"AARC always easy to work with, center is clean with the dance stage.",Positive,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,We held a year end retreat for our department. It was nice to be able to utilized the nice outside area as well as the large auditorium,Positive,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,The openness and grounds provide an inspired space for learning,Positive,True,False,English
Asian American Resource Center,Please let us know if you have any additional feedback about the AARC's facilities.,more parking would be appreciated.,Suggestion,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,they could easier charge more,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,We've only attended free to the public events,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,I go to free events only,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,I answered neutral because I have never paid anything! Everything I have been to is free which is great!,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Donations from big corporations and put their names on the program as supporters appear to be a better choice.,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Fees are reasonable and help the community,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,City policy should make avail of discount  for any public service event. It is at those event that prices become costly,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,I like center stage.,N/A,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,No fees were involved.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,We can and should ask the corporations and developers to pay more of their fair share.,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,I think that sometimes the events are a little expensive for people with families.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,I also used Texas cultures - the museum in San Antonio.,N/A,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,See question 2,N/A,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,expensive in terms of the location (NE area),Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,I’m thankful for the use of the community center even though I’m not Asian.,Positive,False,True,Spanish
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Tai Chi day was free. Asian food and culture festivals were also free.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Lowering the rental fees would invite more non-profit groups .,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,"1. Large Asian events are going elsewhere due to space and cost.  2.  classrooms should be available to Asian organizations for less than the general public to encourage more diverse options  3.  Difference between ""collaboration"" and ""co-sponsorship"" not clear.  How does it impact cost?",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,"Very modest fees may be essential for programs.  Access to facility should always remain free, welcoming even when specific program not going on.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,"no idea, have only attended free events so far",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,We have only attended free classes and events.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,"The fees are reasonable, but the Library does not charge for people to use their meeting rooms.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,I have never had to pay to attend anything at the center and this is so nice. I would gladly tip/support the performers and I do buy merch when it’s available. I would also buy concessions happily but they are usually free.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Providing free usage of community rooms for non-profits is a great way to allow groups with limited-resources to have a place to meet and also promotes the other opportunities and activities at the center.,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,"I have not rented a room, or classes; the English language is taught by a chinse in their language.",N/A,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Everything I have attended was free but I have looked at other things that do charge and they seemed reasonable.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,"Unfortunately, I do not know much about the fees as I am unable to make frequent visits to this place due to the long distance from my house. However, I have been always happy with the fee whenever I visit AARC.",Positive,False,True,Vietnamese
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,"Most of their programs are free, which enables a range of people from the community to attend and to participate.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Want to forget my horrible experience,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,I've never been charged for anything.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,I haven't reached out to them regarding fees.,N/A,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,"I know that a few years ago the fees at the AARC were changed to flat fees, standard across Parks and Rec sites, and feel like these are prohibitive to some of the smaller groups that would like to use the Center. These flat fees also do not quite reflect the particularities of the spaces available. (My information may be dated, and the fee schedule may have been subsequently revised.) More established community groups know that they can request partial or full fee waivers from council, but, again, the smaller groups tend not to know of this option and therefore don't avail of it.",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Most of the events I knew about were free,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Other non-profits - like Girl Scouts - are having a harder time engaging the community due to limited facilities that will waive or reduce fees for spaces.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,"With the lack of parking and restrictions on number of guests, the rental fees are high.",Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Fees could be lower.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,Rental fee is high.  Not enough classrooms for language school.,Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about fees at the AARC.,I wish they were more affordable to new non-profits.,Negative,True,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Wonderful place. Love the artist works that are periodically displayed,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Love being able to expose our children to the Japanese folk music and dance. My husband was adopted from Osaka orphanage and raised in The USA but remembers the songs from his youth. He is 71 now. Thank you,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"the garden space is nice, wish there were more gardening classes. more food festival events with food vendors please!!!",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"Right now it's basically another linear parks & rec building. The building's exterior & interior could reflect the culture MUCH MORE. The lunch is not good, needs new cooks! The landscape also needs refining to echo the Asian philosophy. More informative education, etc. Good programs & art though more art classes (no charge) would be appreciated. Definitely more parking crucial.",Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"Great center, great programs, great staff",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Staff and program excellent up,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,There have been some interesting programs like author visits etc.but some times timing is tricky.  I would like to see more authors/speakers in the evening.,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"These r v interesting , give new exposure, knowledge about new things",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Another wonderful facility asset in Austin that provides an opportunity to focus on another element of our diverse community.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"More weekend programs! Include more dance, physical activities.",Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Wonderful health screenings,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,moving in the right direction,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,More permanent Filipino art please,Suggestion,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,I was impressed by how well the programs I attended at AARC in these past couple years,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,It appears from my interactions that only one community dominates everything. Do not wish to elaborate further. Other Asian community AARC employees expressed their feelings to me and it appears they are right . But I guess one is powerless since many factors are involved for this situation.,Negative,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,I liked the Japanese cultural festival held at the AARC.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,the people who participate in the programs here have been so welcoming and eager to share their culture and knowledge with us. Its a Wow experience.,Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,I went to AARC for an Awards Ceremony only.  No cultural event was involved.,N/A,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"I attended an Equity summit at the AARC. I am so glad that we have an Asian cultural facility to provide recognition, education, and inspiration for our growing population of Asian Americans.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"The Asian American community, bar none, is the most diverse and disparate community of the major minorities of color because we share no common indigenous language, no common belief systems, very little common culture. Therefore, the center is critically important in terms of serving and educating the non-Asian community, but the Asian community as well.",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"I was invited there as part of meetings but while I was there I signed up to receive event info, etc",N/A,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,"I have only gone once, and they had a great guest instructor!",Positive,False,False,English
Asian American Resource Center,Please let us know if you have any additional thoughts about your experience with programs at the AARC.,Reflect the needs of the community more. More programs for AA youth needed.,Suggestion,False,False,English
